AppID,Nombre,Horas Totales,Horas Últimas 2 Semanas,Última Vez Jugado,Logros Totales,Logros Desbloqueados
976730,Halo: The Master Chief Collection,27.25,0.0,2024-06-26 19:23:40,700,61
1112400,Project Torque,0.0,0.0,1969-12-31 19:00:00,0,0
1097840,Gears 5,0.0,0.0,1969-12-31 19:00:00,181,0
1137450,Encodya,0.0,0.0,1969-12-31 19:00:00,16,0
1142080,Pawnbarian,0.0,0.0,1969-12-31 19:00:00,18,0
1154810,Going Under,0.0,0.0,1969-12-31 19:00:00,23,0
1085660,Destiny 2,1.87,0.0,2020-11-21 09:42:16,23,2
1172470,Apex Legends,0.0,0.0,1969-12-31 19:00:00,12,0
1174180,Red Dead Redemption 2,0.0,0.0,1969-12-31 19:00:00,51,0
997070,Marvel's Avengers - The Definitive Edition,0.0,0.0,1969-12-31 19:00:00,50,0
1026420,WARSAW RISING: City of Heroes,0.0,0.0,1969-12-31 19:00:00,42,0
1191900,Say No! More,0.0,0.0,1969-12-31 19:00:00,22,0
1196590,Resident Evil Village,50.7,0.0,2024-04-21 16:31:30,56,28
996470,eFootball PES 2020,3.7,0.0,2021-02-14 19:45:11,0,0
1145360,Hades,0.0,0.0,1969-12-31 19:00:00,49,0
408410,X-Morph: Defense,0.0,0.0,1969-12-31 19:00:00,40,0
1227690,Severed Steel,0.32,0.0,2024-07-24 20:01:33,57,0
322500,SUPERHOT,0.0,0.0,1969-12-31 19:00:00,26,0
1236300,Resident Evil Re:Verse,0.0,0.0,1969-12-31 19:00:00,12,0
1238060,Dead Space™ 3,4.53,0.0,2024-03-02 09:30:57,58,6
1261040,Streamer Life Simulator,0.0,0.0,1969-12-31 19:00:00,15,0
289690,Lara Croft and the Temple of Osiris,0.0,0.0,1969-12-31 19:00:00,40,0
588210,HELLION,0.0,0.0,1969-12-31 19:00:00,12,0
1285670,Post Void,0.0,0.0,1969-12-31 19:00:00,7,0
34330,Total War: SHOGUN 2,0.0,0.0,1969-12-31 19:00:00,106,0
1076280,Showdown Bandit,0.0,0.0,1969-12-31 19:00:00,8,0
55110,Red Faction: Armageddon,13.25,13.25,2025-03-13 21:06:01,58,25
579110,Interkosmos,0.0,0.0,1969-12-31 19:00:00,17,0
406970,The Uncertain: Last Quiet Day,0.0,0.0,1969-12-31 19:00:00,32,0
1048540,Kao the Kangaroo: Round 2,0.0,0.0,1969-12-31 19:00:00,9,0
